# Simulation 1 (Up to date)
# 685 data points written for 23 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (28.8 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),CP location (cm),CG location (cm),Thrust (N),Thrust-to-weight ratio (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,536,0,0,0,0,0,0,0,0,0,17.407,78.477,90,0,0,0,145.219,NaN,14.976,0,0
0.01,0,536,0,0,0,0,0,0,0,0,0,17.407,78.477,90,0,0,0,145.213,NaN,14.975,0.305,0.215
0.02,0,536,0,0,0,0,0,0,0,0,0,17.407,78.477,90,0,0,0,145.207,NaN,14.975,0.61,0.43
0.031,0,536,0,0,0,0,0,0,0,0,0,17.407,78.477,90,0,0,0,145.201,NaN,14.975,0.946,0.666
0.041,0,536,0.002,0.002,1.115,0,0,0,0,9.613e-4,0.577,17.407,78.477,89.977,0,0,0,145.165,NaN,14.973,1.582,1.114
0.051,1.474e-4,536,0.035,0.036,5.5,-3.865e-5,0,3.865e-5,270,0.007,0.588,17.407,78.477,89.578,0,0,0,145.13,NaN,14.971,2.218,1.562
0.061,8.449e-4,536.001,0.112,0.113,9.888,-1.359e-4,0,1.359e-4,270,0.013,0.587,17.407,78.477,88.648,0,0,0,145.095,NaN,14.969,2.854,2.011
0.071,0.003,536.003,0.233,0.233,14.278,-2.92e-4,0,2.92e-4,270,0.019,0.588,17.407,78.477,87.188,0,0,0,145.059,NaN,14.967,3.49,2.459
0.081,0.006,536.006,0.397,0.398,18.669,-5.068e-4,0,5.068e-4,270,0.024,0.589,17.406,78.477,85.2,0,0,0,145.024,NaN,14.965,4.126,2.908
0.092,0.011,536.011,0.629,0.63,23.503,-8.111e-4,0,8.111e-4,270,0.031,0.593,17.406,78.477,82.42,0,0,0,144.985,NaN,14.963,4.826,3.402
0.102,0.019,536.019,0.902,0.903,31.026,-0.001,0,0.001,270,0.037,0.598,17.406,78.477,79.178,0,0,0,144.895,NaN,14.958,5.913,4.171
# Event LIFTOFF occurred at t=0.112 seconds
0.112,0.03,536.03,1.25,1.251,38.559,-0.002,0,0.002,270,0.043,0,17.406,78.477,75.039,0,0,0,144.804,NaN,14.953,7,4.942
0.122,0.044,536.044,1.673,1.674,46.099,-0.002,0,0.002,270,0.043,0,17.406,78.477,70.181,0,0,0,144.714,NaN,14.948,8.088,5.713
0.132,0.063,536.063,2.172,2.172,53.645,-0.002,0,0.002,270,0.043,0,17.406,78.477,64.762,0,0,0,144.624,NaN,14.943,9.175,6.485
0.139,0.08,536.08,2.566,2.566,58.931,-0.003,0,0.003,270,0.043,0,17.406,78.477,60.756,0,0,0,144.56,NaN,14.939,9.936,7.025
0.149,0.109,536.109,3.183,3.183,64.415,-0.003,0,0.003,270,0.043,0,17.406,78.477,55.016,0,0,0,144.413,NaN,14.931,10.72,7.587
0.159,0.144,536.144,3.854,3.855,69.905,-0.004,0,0.004,270,0.043,0,17.406,78.477,49.733,0,0,0,144.266,NaN,14.923,11.504,8.15
0.169,0.186,536.186,4.581,4.581,75.4,-0.004,-5.467e-9,0.004,270,0.043,0,17.406,78.477,44.847,0,0,0,144.119,NaN,14.915,12.287,8.715
0.179,0.235,536.235,5.362,5.362,80.899,-0.004,-6.14e-9,0.004,270,0.043,0,17.406,78.477,40.394,0,0,0,143.972,NaN,14.906,13.071,9.28
0.188,0.289,536.289,6.14,6.141,86.029,-0.005,-6.768e-9,0.005,270,0.043,0,17.406,78.477,36.65,0,0,0,143.834,NaN,14.899,13.802,9.808
0.192,0.312,536.312,6.46,6.461,88.052,-0.005,-7.016e-9,0.005,270,0.043,0,17.406,78.477,35.28,0,0,0,143.78,NaN,14.895,14.09,10.017
0.198,0.349,536.349,6.93,6.93,82.118,-0.005,-7.387e-9,0.005,270,0.043,0,17.406,78.477,33.43,0,0,0,143.694,NaN,14.891,13.232,9.413
0.205,0.401,536.401,7.494,7.494,74.342,-0.006,-7.873e-9,0.006,270,0.043,0,17.406,78.477,31.556,0,0,0,143.581,NaN,14.884,12.11,8.621
0.209,0.434,536.434,7.802,7.802,69.734,-0.006,-8.161e-9,0.006,270,0.043,0,17.406,78.477,30.667,0,0,0,143.515,NaN,14.88,11.446,8.152
0.215,0.485,536.485,8.222,8.222,61.497,-0.006,-8.592e-9,0.006,270,0.043,0,17.406,78.477,29.554,0,0,0,143.441,NaN,14.876,10.262,7.313
# Event LAUNCHROD occurred at t=0.221 seconds
0.221,0.536,536.536,8.572,8.572,53.672,-0.006,-9.002e-9,0.006,270,0.043,2.551,17.406,78.477,28.715,0,0,0,143.371,17.727,14.872,9.139,6.515
0.231,0.62,536.62,9.025,9.025,41.422,-0.007,-9.777e-9,0.007,270,0.068,2.658,17.406,78.477,27.617,0,3.282,-8.12e-5,143.261,17.755,14.866,7.381,5.266
0.242,0.72,536.72,9.442,9.442,35.978,-0.008,-1.092e-8,0.008,270,0.097,2.728,17.406,78.477,26.659,0,7.572,3.597e-6,143.171,17.781,14.861,6.601,4.713
0.248,0.779,536.779,9.656,9.656,32.839,-0.008,-1.172e-8,0.008,270,0.114,2.75,17.406,78.477,26.176,0,10.3,2.666e-4,143.12,17.795,14.858,6.151,4.393
0.257,0.866,536.866,9.942,9.943,31.913,-0.009,-1.314e-8,0.009,270,0.138,2.737,17.406,78.477,25.441,0,14.484,2.431e-4,143.057,17.817,14.855,6.018,4.3
0.265,0.947,536.947,10.196,10.197,31.067,-0.011,-1.483e-8,0.011,270,0.16,2.696,17.406,78.477,24.754,0,18.646,-1.835e-5,142.999,17.838,14.851,5.897,4.215
0.272,1.024,537.024,10.425,10.426,30.286,-0.012,-1.685e-8,0.012,270,0.18,2.636,17.406,78.477,24.123,0,22.79,1.745e-4,142.946,17.858,14.848,5.784,4.136
0.279,1.097,537.097,10.633,10.635,29.558,-0.013,-1.924e-8,0.013,270,0.198,2.56,17.406,78.477,23.533,0,26.919,3.87e-4,142.897,17.877,14.845,5.68,4.063
0.286,1.167,537.167,10.824,10.826,28.875,-0.015,-2.205e-8,0.015,270,0.214,2.471,17.406,78.477,22.975,0,31.035,4.935e-4,142.85,17.896,14.843,5.581,3.994
0.292,1.234,537.234,10.999,11.002,28.236,-0.016,-2.529e-8,0.016,270,0.229,2.371,17.406,78.477,22.448,0,35.109,2.661e-4,142.806,17.914,14.84,5.489,3.929
0.298,1.299,537.299,11.164,11.167,27.942,-0.017,-2.904e-8,0.017,270,0.243,2.254,17.406,78.477,21.935,0,39.207,3.414e-4,142.769,17.932,14.838,5.446,3.899
0.303,1.362,537.362,11.319,11.322,27.662,-0.019,-3.327e-8,0.019,270,0.255,2.11,17.406,78.477,21.335,0,43.304,5.224e-4,142.733,17.954,14.836,5.406,3.871
0.309,1.423,537.423,11.466,11.469,27.395,-0.02,-3.797e-8,0.02,270,0.266,1.948,17.406,78.477,20.696,0,47.401,9.632e-4,142.699,17.978,14.834,5.367,3.844
0.314,1.481,537.481,11.605,11.608,27.141,-0.021,-4.318e-8,0.021,270,0.275,1.781,17.406,78.477,20.079,0,51.491,7.151e-4,142.667,18.001,14.832,5.33,3.819
0.319,1.538,537.538,11.736,11.739,26.896,-0.023,-4.889e-8,0.023,270,0.284,1.569,17.406,78.477,19.482,0,55.488,8.514e-4,142.636,18.025,14.83,5.294,3.794
0.324,1.596,537.596,11.867,11.87,26.648,-0.024,-5.545e-8,0.024,270,0.291,1.336,17.406,78.477,18.873,0,59.459,3.346e-4,142.605,18.05,14.829,5.259,3.769
0.329,1.655,537.655,11.998,12.002,26.395,-0.026,-6.298e-8,0.026,270,0.297,1.085,17.406,78.477,18.248,0,63.425,2.104e-4,142.573,18.076,14.827,5.223,3.744
0.334,1.716,537.716,12.131,12.135,26.137,-0.027,-7.156e-8,0.027,270,0.301,0.816,17.406,78.477,17.606,0,67.386,2.519e-4,142.541,18.104,14.825,5.186,3.719
0.339,1.779,537.779,12.265,12.269,25.872,-0.029,-8.126e-8,0.029,270,0.305,0.528,17.406,78.477,16.943,0,71.342,2.74e-4,142.508,18.134,14.823,5.148,3.693
0.344,1.844,537.844,12.401,12.405,25.599,-0.03,-9.22e-8,0.03,270,0.307,0.219,17.406,78.477,16.259,0,75.293,9.921e-4,142.474,18.166,14.821,5.11,3.666
0.349,1.911,537.911,12.539,12.542,25.317,-0.032,-1.046e-7,0.032,270,0.307,0.111,17.406,78.477,15.551,0,79.237,9.254e-4,142.44,18.2,14.819,5.071,3.639
0.355,1.981,537.981,12.679,12.682,25.025,-0.034,-1.186e-7,0.034,270,0.306,0.447,17.406,78.477,14.886,0,83.184,4.051e-4,142.404,18.232,14.817,5.03,3.61
0.361,2.054,538.054,12.821,12.824,24.722,-0.035,-1.344e-7,0.035,270,0.302,0.805,17.406,78.477,14.204,0,87.124,1.092e-4,142.368,18.267,14.815,4.988,3.581
0.367,2.13,538.13,12.966,12.969,24.406,-0.037,-1.522e-7,0.037,270,0.296,1.187,17.406,78.477,13.493,0,91.056,3.852e-4,142.33,18.304,14.813,4.945,3.552
0.37,2.174,538.174,13.047,13.051,24.224,-0.038,-1.631e-7,0.038,270,0.292,1.41,17.406,78.477,13.083,0,93.237,6.118e-4,142.309,18.326,14.812,4.921,3.535
0.375,2.24,538.24,13.169,13.172,24.045,-0.04,-1.803e-7,0.04,270,0.284,1.765,17.406,78.477,12.464,0,96.417,6.796e-4,142.28,18.36,14.81,4.898,3.519
0.382,2.326,538.326,13.324,13.327,23.81,-0.041,-2.04e-7,0.041,270,0.271,2.233,17.406,78.477,11.664,0,100.32,7.44e-4,142.243,18.406,14.808,4.869,3.499
0.388,2.417,538.417,13.485,13.487,23.555,-0.043,-2.311e-7,0.043,270,0.254,2.741,17.406,78.477,10.814,0,104.206,-1.647e-4,142.204,18.456,14.806,4.839,3.478
0.396,2.515,538.515,13.654,13.656,23.275,-0.045,-2.621e-7,0.045,270,0.232,3.295,17.406,78.477,9.903,0,108.066,-0.001,142.162,18.512,14.803,4.806,3.455
0.403,2.622,538.622,13.834,13.835,22.961,-0.047,-2.978e-7,0.047,270,0.204,3.923,17.406,78.477,8.846,0,111.886,-5.866e-4,142.118,18.58,14.801,4.771,3.431
0.412,2.742,538.742,14.03,14.031,22.595,-0.048,-3.394e-7,0.048,270,0.167,4.654,17.406,78.477,7.567,0,115.61,-9.342e-4,142.069,18.667,14.798,4.732,3.405
0.422,2.883,538.883,14.253,14.254,22.147,-0.05,-3.898e-7,0.05,270,0.117,5.512,17.406,78.477,6.086,-4.377e-7,119.217,-0.001,142.011,18.774,14.795,4.687,3.374
0.434,3.062,539.062,14.526,14.526,21.55,-0.051,-4.54e-7,0.051,269.999,0.041,6.582,17.406,78.477,4.259,0,122.568,-0.002,141.94,18.916,14.79,4.631,3.335
0.453,3.335,539.335,14.916,14.916,20.587,-0.05,-5.485e-7,0.05,269.999,0.095,8.13,17.406,78.477,1.658,4.667e-7,125.071,-0.004,141.833,19.139,14.784,4.548,3.277
0.475,3.67,539.67,15.358,15.36,19.334,-0.046,-6.498e-7,0.046,269.999,0.294,9.824,17.406,78.477,0.99,0,-124.297,-0.008,141.707,19.201,14.777,4.448,3.208
0.499,4.046,540.046,15.813,15.823,18.393,-0.036,-7.398e-7,0.036,269.999,0.555,11.777,17.406,78.477,3.641,2.133e-6,-118.815,-0.004,141.578,18.967,14.769,4.425,3.194
0.511,4.241,540.241,16.035,16.05,17.863,-0.028,-7.763e-7,0.028,269.998,0.704,12.738,17.406,78.477,4.939,1.567e-6,-114.165,-0.003,141.513,18.862,14.766,4.413,3.187
0.521,4.389,540.389,16.198,16.219,17.449,-0.021,-8.037e-7,0.021,269.998,0.825,13.435,17.406,78.477,5.857,1.272e-6,-109.799,-0.002,141.463,18.792,14.763,4.404,3.182
0.528,4.516,540.516,16.333,16.359,17.094,-0.014,-8.281e-7,0.014,269.997,0.933,14.001,17.406,78.477,6.582,1.181e-6,-105.549,-0.003,141.422,18.738,14.76,4.396,3.177
0.535,4.63,540.63,16.45,16.483,16.777,-0.007,-8.519e-7,0.007,269.993,1.031,14.482,17.406,78.477,7.186,1.248e-6,-101.355,-0.002,141.385,18.695,14.758,4.39,3.173
0.542,4.735,540.735,16.556,16.594,16.49,-6.631e-4,-8.76e-7,6.631e-4,269.924,1.125,14.9,17.406,78.477,7.7,1.13e-6,-97.2,-0.002,141.351,18.659,14.756,4.383,3.17
0.548,4.832,540.832,16.652,16.696,16.227,0.006,-9.011e-7,0.006,90.008,1.213,15.27,17.406,78.477,8.146,1.204e-6,-93.073,-0.002,141.32,18.628,14.754,4.378,3.166
0.553,4.925,540.925,16.741,16.791,15.987,0.013,-9.273e-7,0.013,90.004,1.298,15.594,17.406,78.477,8.505,1.179e-6,-88.967,-0.002,141.29,18.604,14.753,4.372,3.163
0.558,5.013,541.013,16.824,16.881,15.768,0.02,-9.552e-7,0.02,90.003,1.381,15.88,17.406,78.477,8.797,1.118e-6,-84.883,-0.002,141.262,18.585,14.751,4.367,3.16
0.563,5.098,541.098,16.903,16.966,15.562,0.027,-9.848e-7,0.027,90.002,1.462,16.139,17.406,78.477,9.053,1.178e-6,-80.809,-0.002,141.235,18.568,14.749,4.362,3.157
0.568,5.18,541.18,16.978,17.048,15.37,0.035,-1.016e-6,0.035,90.002,1.541,16.374,17.406,78.477,9.277,1.217e-6,-76.746,-0.002,141.209,18.553,14.748,4.358,3.154
0.573,5.26,541.26,17.05,17.127,15.191,0.042,-1.05e-6,0.042,90.001,1.619,16.587,17.406,78.477,9.473,1.299e-6,-72.689,-0.002,141.184,18.541,14.746,4.353,3.152
0.578,5.339,541.339,17.119,17.203,15.023,0.05,-1.086e-6,0.05,90.001,1.695,16.781,17.406,78.477,9.643,1.256e-6,-68.638,-0.002,141.16,18.53,14.745,4.349,3.149
0.582,5.415,541.415,17.186,17.277,14.866,0.057,-1.125e-6,0.057,90.001,1.77,16.956,17.406,78.477,9.788,1.186e-6,-64.591,-0.002,141.136,18.521,14.744,4.344,3.146
0.586,5.49,541.49,17.251,17.349,14.72,0.065,-1.165e-6,0.065,90.001,1.845,17.114,17.406,78.477,9.912,1.262e-6,-60.551,-0.002,141.113,18.513,14.742,4.34,3.144
0.591,5.564,541.564,17.313,17.419,14.583,0.073,-1.209e-6,0.073,90.001,1.918,17.256,17.406,78.477,10.014,1.257e-6,-56.514,-0.002,141.09,18.507,14.741,4.336,3.141
0.595,5.637,541.637,17.375,17.488,14.457,0.082,-1.255e-6,0.082,90.001,1.991,17.384,17.406,78.477,10.097,1.237e-6,-52.482,-6.125e-4,141.068,18.502,14.74,4.332,3.139
0.599,5.709,541.709,17.434,17.556,14.34,0.09,-1.304e-6,0.09,90.001,2.063,17.497,17.406,78.477,10.161,1.272e-6,-48.453,-3.04e-4,141.045,18.498,14.738,4.328,3.136
0.603,5.781,541.781,17.492,17.622,14.226,0.099,-1.355e-6,0.099,90.001,2.135,17.607,17.406,78.477,10.245,1.285e-6,-44.423,-2.62e-4,141.024,18.493,14.737,4.324,3.134
0.607,5.851,541.851,17.549,17.687,14.119,0.107,-1.409e-6,0.107,90.001,2.206,17.706,17.406,78.477,10.324,1.344e-6,-40.393,3.331e-6,141.002,18.488,14.736,4.32,3.132
0.611,5.921,541.921,17.605,17.752,14.021,0.116,-1.466e-6,0.116,90.001,2.276,17.793,17.406,78.477,10.385,1.299e-6,-36.367,-6.111e-4,140.981,18.484,14.735,4.316,3.129
0.615,5.99,541.99,17.66,17.815,13.932,0.125,-1.525e-6,0.125,90.001,2.346,17.867,17.406,78.477,10.429,1.285e-6,-32.344,-0.001,140.96,18.481,14.733,4.312,3.127
0.619,6.058,542.058,17.714,17.877,13.852,0.134,-1.587e-6,0.134,90.001,2.415,17.928,17.406,78.477,10.457,1.307e-6,-28.324,-0.002,140.94,18.48,14.732,4.309,3.125
0.623,6.126,542.126,17.766,17.939,13.78,0.144,-1.651e-6,0.144,90.001,2.484,17.979,17.406,78.477,10.468,1.286e-6,-24.308,-0.001,140.919,18.479,14.731,4.305,3.123
0.626,6.194,542.194,17.819,18.001,13.717,0.153,-1.718e-6,0.153,90.001,2.552,18.017,17.406,78.477,10.464,1.284e-6,-20.296,-2.898e-5,140.899,18.479,14.73,4.301,3.12
0.63,6.261,542.261,17.87,18.062,13.663,0.163,-1.788e-6,0.163,90.001,2.621,18.045,17.406,78.477,10.445,1.315e-6,-16.286,-1.756e-4,140.879,18.48,14.729,4.298,3.118
0.634,6.328,542.328,17.922,18.122,13.616,0.173,-1.861e-6,0.173,90.001,2.688,18.061,17.406,78.477,10.411,1.27e-6,-12.28,3.268e-4,140.859,18.483,14.727,4.294,3.116
0.638,6.395,542.395,17.973,18.183,13.578,0.183,-1.936e-6,0.183,90.001,2.756,18.067,17.406,78.477,10.363,1.229e-6,-8.274,7.646e-4,140.839,18.486,14.726,4.29,3.114
0.641,6.463,542.463,18.023,18.243,13.547,0.194,-2.014e-6,0.194,90.001,2.823,18.062,17.406,78.477,10.3,1.274e-6,-4.27,8.748e-4,140.819,18.489,14.725,4.287,3.111
